RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	DOR	DOE
20000011	2000	"CLARKO CONTRACTORS,INC"	31038	2506 LAKELAND DRIVE SUITE	JACKSON	RANKIN	MS	39208						MS	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/12/01	01/24/01
20000012	2000	"CLARKO CONTRACTORS,INC"	31038	2506 LAKELAND DRIVE SUITE	JACKSON	RANKIN	MS	39208						MS	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/12/01	01/24/01
20000013	2000	"BLANDING, CITY OF"	30047	50 WEST 100 SOUTH	BLANDING	SAN JUAN	UT	84511						UT	0	33	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/17/01	01/24/01
20000014	2000	UNITED STATES STEEL CORP	20237	8800 OAK GROVE MINE ROAD	ADGER		AL	35006						AL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/17/01	01/24/01
20000015	2000	HATTIESBURG GAS STORAGE CO	7477	PO BOX 1183	PETAL	FORREST	MS	-3-9465	PO BOX 21101	SHREVEPORT		LA	71101	MS	0	31	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/17/01	01/24/01
20000016	2000	PETAL GAS STORAGE COMPANY	30872	"CHAPEL HILL RD, PO BOX 11"	PETAL	FORREST	MS	39465	PO BOX 21101	SHREVEPORT		LA	71120	MS	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/17/01	01/24/01
20000017	2000	HUTCHINSON UTILITIES COMMISSION	7695	225 MICHIGAN STREET SE	HUTCHINSON	MCLEOD	MN	55350						MN	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/16/01	01/24/01
20000018	2000	SOUTH DAKOTA INTRASTATE PIPELINE CO.	30024	1415 N AIRPORT RD	PIERRE	HUGHES	SD	57501						SD	0	178	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	153	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	153	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/16/01	01/24/01
20000019	2000	MUSTANG FUEL CORP	12930	"ROUTE 6, BOX 615"	ENID	GARFIELD	OK	73701	"2000 CLASSEN CENTER, #800"	OKLAHOMA CITY	OKLAHOMA	OK	73106	OK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	3	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	33	0	0	0	0	0	0	0	0	11	22	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/18/01	01/24/01
20000020	2000	EQUITABLE RESOURCES (A.K.A EQUITABLE GAS CO)	4510	265 N MAYO TRAIL 	PIKEVILLE	PIKE	KY	-4-1501	EQUITABLE RESOURCES	200 ALLEGHENY CENTER MAIL	PITTSBURGH	PA	15219-    	KY	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	50	0	4	0	55	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	53	2	0	0	0	55	0	0	0	0	0	0	0	0	53	7	0	0	0	60	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	01/19/01	01/24/01
20000021	2000	ITAWAMBA INDUSTRIAL GAS CO	8326	PO BOX 849	FULTON	ITAWAMBA	MS	38843						MS	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/18/01	01/24/01
20000022	2000	"ENMARK ENERGY, INC"	30666	855 S PEAR ORCHARD RD 501	RIDGELAND	MADISON	MS	39157						MS	0	61	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/19/01	01/24/01
20000023	2000	"ENMARK ENERGY, INC"	30666	855 S PEAR ORCHARD RD501 	RIDGELAND	MADISON	MS	39157						MS	0	31	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/19/01	01/24/01
20000024	2000	"ENMARK ENERGY, INC"	30666	855 S PEAR ORCHARD RD 501	RIDGELAND	MADISON	MS	39157						MS	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/19/01	01/24/01
20000025	2000	GENE POWELL INVESTMENTS INC	30536	P.O. BOX 5513	LONGVIEW	GREGG	TX	75608	1523 COLONY CIRCLE	LONGVIEW		TX	75604	TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/23/01	01/26/01
20000026	2000	EL PASO FIELD SERVICES	30950	402 3RD ST SE	FAYETTE		AL	35555-    	1001 LOUISIANA STREET 26T	HOUSTON	HARRIS	TX	77002	AL	0	416	23	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	201	89	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	201	89	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/23/01	01/26/01
20000027	2000	"BP EXPLORATION ( ALASKA), INC"	1541	"BOX 196612, 900 BENSON BL"	ANCHORAGE		AK	99519-    						AK	0	1	0	30	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000028	2000	COASTAL FIELD SERVICES	31126	2 NORTH NEVADA AVE	COLORADO SPRINGS	EL PASO	CO	80903	9 GREENWAY PLAZA	HOUSTON		TX	77046	KS	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	4	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000029	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						CO	0	2015	0	0	0	0	0	2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	423	1054	415	13	2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	423	1054	415	13	2015	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000030	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						KS	0	118	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	28	85	1	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	28	85	1	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000031	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						MT	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000032	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						TX	0	133	0	0	0	0	0	133	0	0	0	0	0	0	0	0	2	19	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	17	13	103	0	0	133	0	0	0	0	0	0	0	0	2	9	7	3	0	21	0	0	0	0	0	0	0	0	19	22	110	3	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000033	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						WY	0	1590	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	44	739	541	261	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	44	739	541	261	1590	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000034	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						UT	0	29	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000035	2000	COLORADO INTERSTATE GAS CO	2564	PO BOX 1087	COLORADO SPRINGS	EL PASO	CO	80944						OK	0	129	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	74	49	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	74	49	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000036	2000	COASTAL STATES GAS TRANSMISSION CO	2527	9 GREENWAY PLAZA	HOUSTON	HARRIS	TX	77046	9 GREENWAY PLAZA	HOUSTON	HARRIS	TX	77046	TX LA AL	0	37	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	63	0	8	0	0	0	0	0	8	0	5	6	26	0	0	37	0	0	0	0	0	0	0	0	12	42	9	0	0	63	0	0	8	0	0	0	8	0	17	56	35	0	0	108	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/22/01	01/26/01
20000037	2000	DAMASCUS GAS CO	3093	19220 US ROUTE 62	BELOIT	MAHONING	OH	44609	"8144 WALNUT HILL LANE, SU"	DALLAS		TX	75231	OH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/25/01	01/26/01
20000038	2000	APACHE CORP	550	4901 W BROADWAY	PEARLAND	BRAZORIA	TX	-7-7581	2000 POST OAK BLVD SUIT 1	HOUSTON		TX	75708	TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/25/01	01/29/01
20000039	2000	UNITED CITIES GAS CO	20211	PO BOX 650205	DALLAS		TX	75265-    				TX		KS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	0	10	0	0	0	0	0	0	0	0	5	4	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	01/29/01
20000040	2000	UNITED CITIES GAS CO	20211	PO BOX 650205	DALLAS	DALLAS	TX	75265-0205				TX		KY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	6	0	0	0	0	0	0	0	0	5	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	01/29/01
20000041	2000	"MIDWEST GRAIN PIPELINE, INC."	30059	1300 MAIN ST	ATCHISON	ATCHISON	KS	66002						KS	0	20	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	01/29/01
20000042	2000	RSEC LLC 	31466	2251 SIMMONS ROAD	WEST BRANCH		MI	48661-    	1200 17TH ST #2350	DENVER		CO	80202-    	MI	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	3	2	0	0	0	5	0	0	0	0	0	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	20	2	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	02/09/01
20000043	2000	RSEC LLC 	31466											MI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	02/09/01
20000044	2000	WHITING PETROLEUM CORP	31352	"900 COLUMBIA 25, BOX 490"	MAGNOLIA	COLUMBIA	AR	71753-    	"1700 BROADWAY, #2300"	DENVER		CO	80290	CO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	02/06/01
20000045	2000	DEVON ENERGY CORP	3345	PO BOX 270	CARTHAGE		TX	75633-    						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	02/06/01
20000045	2000	DEVON ENERGY CORP	3345	PO BOX 270	CARTHAGE		TX	75633-0270						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	02/06/01
20000046	2000	PADRE RESOURCE INC	15030	5646 MILTON ST STE 435	DALLAS	DALLAS	TX	75219						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/26/01	01/29/01
